2004,42407654.09277108
2007,31503609.27119808
2005,29940720.092871487
1994,45800451.154285714
1998,47907516.60198183
2010,16913387.433045357
2002,37100247.64037123
2009,19868296.010785397
2017,9127526.696531791
2013,8127617.981855112
1999,40317896.62893377
1991,65556074.2293578
1996,41857730.95195954
2015,6390580.011751744
1992,45529172.06938776
2000,39413186.9898374
2001,34461614.041328415
2016,4724549.547956631
2006,27562262.895141702
2003,37620877.73489933
2011,13409580.347826088
2014,7590499.901524689
1995,37494156.97633136
1990,31188841.266666666
2012,13514010.228946617
1993,123595639.49201278
1997,41015150.99096045
2008,22964033.608181205
